	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	% splices: Annotated (sjdb)	% splices: GT/AG	% splices: GC/AG	% splices: AT/AC	% splices: Non-canonical
P_P4_14	Apr 29 18:50:32	Apr 29 18:50:51	Apr 29 19:16:30	206.53	88290972.0	200.0	70548019.0	79.9	194.26	40353850.0	39891303.0	40021059.0	257594.0	41154.0	34043.0	0.43	0.01	1.54	0.01	1.51	2654009.0	3.01	133761.0	0.15	0.0	16.91	0.03	98.8537723166	99.1753178445	0.638338101569	0.101982834352	0.0843612195615
P_P4_2	Apr 29 19:05:55	Apr 29 19:06:16	Apr 29 19:06:23	26.55	51630.0	200.0	36940.0	71.55	193.06	19326.0	19054.0	19175.0	135.0	14.0	2.0	0.44	0.01	1.55	0.01	1.54	1513.0	2.93	106.0	0.21	0.0	25.3	0.02	98.5925695954	99.2186691504	0.69854082583	0.0724412708269	0.0103487529753
P_P4_3	Apr 29 19:07:04	Apr 29 19:07:24	Apr 29 19:18:45	199.35	37709491.0	200.0	29873933.0	79.22	194.25	18681755.0	18459669.0	18524963.0	125375.0	15841.0	15576.0	0.42	0.01	1.53	0.01	1.54	1222552.0	3.24	65176.0	0.17	0.0	17.34	0.03	98.811214471	99.1607212492	0.67110932565	0.0847939607387	0.0833754644572
P_P4_4	Apr 29 18:18:44	Apr 29 18:19:03	Apr 29 18:27:37	206.25	29447704.0	200.0	24469256.0	83.09	195.7	16493798.0	16297672.0	16350488.0	114253.0	13854.0	15203.0	0.42	0.01	1.53	0.01	1.56	908525.0	3.09	46831.0	0.16	0.0	13.63	0.03	98.8109106223	99.1311279549	0.69270279653	0.0839952083808	0.0921740402059
P_P4_5	Apr 29 18:41:49	Apr 29 18:42:15	Apr 29 18:56:23	198.79	46826499.0	200.0	37874132.0	80.88	195.02	20366956.0	20125607.0	20184659.0	140365.0	25581.0	16351.0	0.43	0.01	1.56	0.01	1.47	1312072.0	2.8	79707.0	0.17	0.0	16.12	0.03	98.8149971945	99.104937429	0.689180062057	0.125600507017	0.0802820018858
P_P4_6	Apr 29 19:37:14	Apr 29 19:38:25	Apr 29 19:48:04	196.96	31678387.0	200.0	25641603.0	80.94	194.96	14017184.0	13823274.0	13899575.0	89694.0	16088.0	11827.0	0.43	0.01	1.56	0.01	1.53	845774.0	2.67	46597.0	0.15	0.0	16.21	0.03	98.6166265635	99.1609655691	0.639886014195	0.114773409552	0.0843750071341
P_P4_7	Apr 29 18:13:54	Apr 29 18:15:06	Apr 29 18:38:25	88.45	34374197.0	200.0	27833125.0	80.97	195.36	13567113.0	13402204.0	13444117.0	97063.0	13704.0	12229.0	0.42	0.01	1.58	0.01	1.49	808207.0	2.35	59739.0	0.17	0.0	16.47	0.03	98.7844945347	99.093425403	0.71542855138	0.101008961892	0.0901370836964
P_P4_8	Apr 29 19:56:48	Apr 29 19:57:10	Apr 29 20:04:55	203.17	26242371.0	200.0	21376511.0	81.46	195.28	12307742.0	12138505.0	12198324.0	85767.0	12180.0	11471.0	0.42	0.01	1.57	0.01	1.55	735983.0	2.8	39533.0	0.15	0.0	15.55	0.03	98.6249549267	99.1109823394	0.696854061452	0.0989621004405	0.0932014986989
P_P4_9	Apr 29 18:47:54	Apr 29 18:48:17	Apr 29 18:58:11	205.83	33962272.0	200.0	29125538.0	85.76	196.07	16427232.0	16228370.0	16285077.0	110425.0	16776.0	14954.0	0.43	0.01	1.55	0.01	1.53	891432.0	2.62	50671.0	0.15	0.0	11.42	0.05	98.7894369544	99.1346381423	0.67220697924	0.10212310875	0.0910317696858
P_P7_1	Apr 29 18:08:00	Apr 29 18:09:47	Apr 29 18:27:44	200.54	59996074.0	200.0	52265666.0	87.12	196.45	32674621.0	32245747.0	32388847.0	228333.0	27303.0	30138.0	0.31	0.01	1.57	0.01	1.54	1728112.0	2.88	90324.0	0.15	0.0	9.81	0.04	98.6874400165	99.1253945991	0.69880841158	0.0835602653203	0.0922367240312
P_P7_10	Apr 29 19:24:10	Apr 29 19:24:30	Apr 29 19:28:38	213.37	14698703.0	200.0	13019102.0	88.57	196.7	9522172.0	9410985.0	9440006.0	65308.0	7577.0	9281.0	0.31	0.01	1.56	0.01	1.6	464771.0	3.16	22245.0	0.15	0.0	8.06	0.05	98.8323357318	99.1371086345	0.68585192538	0.0795721816409	0.0974672585204
P_P7_11	Apr 29 19:52:19	Apr 29 19:52:43	Apr 29 19:57:25	221.14	17322464.0	200.0	14516738.0	83.8	195.86	7997741.0	7892597.0	7924563.0	58353.0	7457.0	7368.0	0.32	0.01	1.59	0.01	1.47	474880.0	2.74	26797.0	0.15	0.0	13.26	0.04	98.6853287697	99.0850166316	0.729618526031	0.0932388283141	0.0921260140832
P_P7_12	Apr 29 18:59:50	Apr 29 19:00:09	Apr 29 19:04:10	229.51	15364685.0	200.0	13650641.0	88.84	196.85	8657376.0	8534577.0	8583185.0	57818.0	6947.0	9426.0	0.31	0.01	1.54	0.01	1.54	429210.0	2.79	21578.0	0.14	0.0	8.18	0.04	98.5815679023	99.1430313296	0.667846700894	0.0802437135686	0.108878255952
P_P7_3	Apr 29 19:44:59	Apr 29 19:45:21	Apr 29 19:49:12	198.62	12744634.0	200.0	10141010.0	79.57	194.97	6162735.0	6091038.0	6106752.0	44187.0	6592.0	5204.0	0.28	0.01	1.56	0.01	1.48	367022.0	2.88	20486.0	0.16	0.0	17.34	0.04	98.8366042025	99.0915883938	0.717003083858	0.106965495028	0.0844430273247
P_P7_4	Apr 29 18:46:12	Apr 29 18:46:31	Apr 29 18:48:25	200.56	6351138.0	200.0	5362183.0	84.43	195.82	3637082.0	3594214.0	3605396.0	25170.0	3029.0	3487.0	0.3	0.01	1.55	0.01	1.5	194756.0	3.07	9366.0	0.15	0.0	12.33	0.03	98.8213628398	99.1288071042	0.692038287836	0.083281047829	0.0958735601782
P_P7_5	Apr 29 19:18:43	Apr 29 19:19:04	Apr 29 19:23:30	218.59	16151598.0	200.0	13695775.0	84.8	195.95	8307893.0	8205944.0	8235279.0	56992.0	7191.0	8431.0	0.3	0.01	1.53	0.01	1.51	475597.0	2.94	26767.0	0.17	0.0	12.05	0.04	98.7728657555	99.125963707	0.685998242876	0.0865562423589	0.101481807722
P_P7_6	Apr 29 17:59:11	Apr 29 18:02:58	Apr 29 18:08:44	197.68	18999166.0	200.0	16645277.0	87.61	196.76	9595066.0	9470119.0	9505102.0	70087.0	10060.0	9817.0	0.3	0.01	1.57	0.01	1.49	518372.0	2.73	29755.0	0.16	0.0	9.47	0.04	98.6977994732	99.0623931091	0.730448336676	0.104845552912	0.102313001286
P_P7_7	Apr 29 18:46:53	Apr 29 18:48:02	Apr 29 18:52:55	169.85	13824308.0	200.0	11563522.0	83.65	195.37	7556586.0	7467622.0	7494740.0	48391.0	6065.0	7390.0	0.29	0.01	1.48	0.01	1.57	435740.0	3.15	25452.0	0.18	0.0	12.96	0.05	98.8226958576	99.1815616206	0.640381780873	0.0802611126241	0.0977954859509
P_P7_9	Apr 29 19:55:54	Apr 29 20:01:58	Apr 29 20:10:35	202.32	29055086.0	200.0	25112630.0	86.43	196.39	17576429.0	17346829.0	17439898.0	104553.0	14475.0	17503.0	0.3	0.01	1.56	0.0	1.57	895051.0	3.08	41252.0	0.14	0.0	10.31	0.04	98.6937050751	99.2232153642	0.59484779303	0.0823546125325	0.0995822302699
P_P8_1	Apr 29 18:08:00	Apr 29 18:10:07	Apr 29 18:34:29	217.16	88191262.0	200.0	76607260.0	86.86	196.41	48674461.0	47977803.0	48250593.0	338007.0	43212.0	42649.0	0.31	0.01	1.57	0.01	1.52	2561250.0	2.9	116692.0	0.13	0.0	10.07	0.03	98.5687401859	99.1291778249	0.694423714317	0.0887775624264	0.0876208983598
P_P8_10	Apr 29 20:12:26	Apr 29 20:14:08	Apr 29 20:22:17	234.43	31843815.0	200.0	28083403.0	88.19	196.57	19892725.0	19615588.0	19722345.0	134099.0	16866.0	19415.0	0.3	0.01	1.53	0.01	1.56	960936.0	3.02	38243.0	0.12	0.0	8.65	0.03	98.6068424512	99.1435059802	0.674110761598	0.0847847642794	0.0975984939218
P_P8_11	Apr 29 19:40:27	Apr 29 19:40:59	Apr 29 19:48:39	226.95	28999427.0	200.0	25262757.0	87.11	196.48	16633918.0	16408033.0	16483876.0	120142.0	14781.0	15119.0	0.32	0.01	1.58	0.01	1.49	859613.0	2.96	38628.0	0.13	0.0	9.75	0.04	98.6420216812	99.0979755942	0.722271205136	0.088860603978	0.0908925966811
P_P8_12	Apr 29 19:36:02	Apr 29 19:36:24	Apr 29 19:36:24	inf	20.0	200.0	19.0	95.0	198.47	13.0	12.0	13.0	0.0	0.0	0.0	0.24	0.03	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	92.3076923077	100.0	0.0	0.0	0.0
P_P8_2	Apr 29 19:08:24	Apr 29 19:08:43	Apr 29 19:16:24	231.58	29655344.0	200.0	26130462.0	88.11	196.31	20286313.0	20053313.0	20107297.0	143325.0	16551.0	19140.0	0.29	0.01	1.53	0.01	1.6	969177.0	3.27	39862.0	0.13	0.0	8.45	0.03	98.8514423493	99.1175528052	0.70651083812	0.0815870286533	0.094349328042
P_P8_3	Apr 29 18:49:44	Apr 29 18:50:24	Apr 29 18:50:24	inf	11.0	200.0	7.0	63.64	196.86	2.0	2.0	2.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.36	0.0	100.0	100.0	0.0	0.0	0.0
P_P8_4	Apr 29 19:48:47	Apr 29 19:49:16	Apr 29 19:49:18	0.05	30.0	200.0	3.0	10.0	200.0	5.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	100.0	100.0	0.0	0.0	0.0
P_P8_5	Apr 29 19:27:52	Apr 29 19:28:18	Apr 29 19:35:55	239.63	30419467.0	200.0	27316247.0	89.8	196.99	16038594.0	15830215.0	15889391.0	116653.0	16786.0	15764.0	0.31	0.01	1.58	0.01	1.54	764792.0	2.51	45826.0	0.15	0.0	7.49	0.04	98.7007651668	99.0697251891	0.72732684673	0.104660046884	0.0982879172576
P_P8_6	Apr 29 19:57:35	Apr 29 19:58:06	Apr 29 20:07:32	230.6	36254794.0	200.0	32211379.0	88.85	196.78	23475228.0	23179132.0	23277692.0	161112.0	16747.0	19677.0	0.32	0.01	1.55	0.0	1.58	1036880.0	2.86	46611.0	0.13	0.0	8.13	0.03	98.7386874368	99.1585342643	0.686306433318	0.0713390302322	0.0838202721609
P_P8_7	Apr 29 18:42:37	Apr 29 18:42:57	Apr 29 18:42:57	inf	28.0	200.0	20.0	71.43	199.65	7.0	7.0	7.0	0.0	0.0	0.0	0.35	0.1	4.0	0.0	0.0	1.0	3.57	0.0	0.0	0.0	25.0	0.0	100.0	100.0	0.0	0.0	0.0
P_P8_8	Apr 29 19:39:20	Apr 29 19:40:23	Apr 29 19:40:24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					
P_P8_9	Apr 29 19:32:53	Apr 29 19:33:54	Apr 29 19:34:01	0.01	22.0	200.0	8.0	36.36	198.5	9.0	9.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.64	0.0	100.0	88.8888888889	11.1111111111	0.0	0.0
P_P9_1	Apr 29 18:29:32	Apr 29 18:29:53	Apr 29 19:04:12	212.77	121692210.0	200.0	101788871.0	83.64	195.62	57241072.0	56528250.0	56766262.0	389266.0	44080.0	41464.0	0.36	0.01	1.5	0.01	1.49	3719178.0	3.06	186950.0	0.15	0.0	13.11	0.04	98.7547018686	99.1705081973	0.680046662998	0.0770076423446	0.0724374973271
P_P9_2	Apr 29 19:24:15	Apr 29 19:24:39	Apr 29 19:55:23	203.53	104250208.0	200.0	85985927.0	82.48	195.86	49601769.0	48892841.0	49150956.0	356687.0	48723.0	45403.0	0.34	0.01	1.55	0.01	1.58	3115070.0	2.99	187740.0	0.18	0.0	14.29	0.07	98.5707606517	99.0911352375	0.719101369147	0.0982283514929	0.0915350418248
P_P9_3	Apr 29 17:56:57	Apr 29 17:59:28	Apr 29 18:39:46	110.65	74320002.0	200.0	61913442.0	83.31	195.3	45577802.0	45067863.0	45215169.0	280602.0	46711.0	35320.0	0.33	0.01	1.52	0.01	1.48	2306181.0	3.1	100326.0	0.13	0.0	13.43	0.02	98.8811680739	99.2043648792	0.615654962914	0.102486293657	0.077493864228
P_P9_4	Apr 29 19:46:13	Apr 29 19:46:32	Apr 29 20:19:59	211.46	117888759.0	200.0	93875007.0	79.63	194.82	44157697.0	43558979.0	43795180.0	293082.0	40794.0	28641.0	0.34	0.01	1.58	0.01	1.5	3064922.0	2.6	192438.0	0.16	0.0	17.58	0.03	98.6441367175	99.1790400663	0.663716678884	0.0923825352577	0.0648607195253
S_MSA_01	Apr 29 18:49:10	Apr 29 18:49:42	Apr 29 18:51:43	196.2	6594550.0	200.0	5936205.0	90.02	197.73	2977302.0	2903119.0	2946532.0	24415.0	2330.0	4025.0	0.27	0.01	1.56	0.01	1.55	118387.0	1.8	6427.0	0.1	0.0	8.05	0.04	97.5083817497	98.9665139781	0.820037738866	0.0782587725397	0.135189510503
S_MSA_02	Apr 29 18:32:48	Apr 29 18:33:08	Apr 29 18:35:33	188.42	7589140.0	200.0	6663486.0	87.8	197.7	2799720.0	2738886.0	2773536.0	19310.0	2734.0	4140.0	0.28	0.01	1.63	0.01	1.57	145511.0	1.92	3003.0	0.04	0.0	10.22	0.02	97.8271398568	99.0647636192	0.689711828326	0.0976526224051	0.14787193005
S_MSA_03	Apr 29 18:39:08	Apr 29 18:40:47	Apr 29 18:42:07	156.3	3473348.0	200.0	2892798.0	83.29	197.58	1319618.0	1284354.0	1305964.0	10777.0	1515.0	1362.0	0.27	0.02	1.83	0.01	1.7	77783.0	2.24	5432.0	0.16	0.0	14.23	0.09	97.3277115044	98.9653066266	0.816675734948	0.114805951419	0.103211687019
S_MSA_04	Apr 29 19:26:54	Apr 29 19:27:14	Apr 29 19:29:17	149.37	5103567.0	200.0	4555448.0	89.26	197.25	2456588.0	2388151.0	2433366.0	15831.0	2794.0	4597.0	0.3	0.01	1.63	0.01	1.56	124962.0	2.45	5868.0	0.11	0.0	8.14	0.03	97.2141441707	99.0547051439	0.644430405098	0.113734985272	0.187129465747
S_MSA_05	Apr 29 19:04:08	Apr 29 19:04:33	Apr 29 19:06:09	196.75	5246777.0	200.0	4686681.0	89.32	197.41	2552774.0	2499716.0	2524784.0	23129.0	2403.0	2458.0	0.29	0.02	1.61	0.01	1.59	101738.0	1.94	6043.0	0.12	0.0	8.55	0.07	97.9215551396	98.9035457114	0.90603398499	0.0941328922968	0.0962874112632
S_MSA_06	Apr 29 18:51:15	Apr 29 18:51:35	Apr 29 18:52:57	221.0	5033835.0	200.0	4545436.0	90.3	197.73	2011044.0	1961138.0	1990205.0	16144.0	2530.0	2165.0	0.27	0.01	1.61	0.01	1.54	102960.0	2.05	4173.0	0.08	0.0	7.53	0.04	97.5184033766	98.9637720507	0.802767119964	0.125805303116	0.107655526184
S_MSA_07	Apr 29 18:58:38	Apr 29 18:58:59	Apr 29 19:00:43	204.19	5898918.0	200.0	5292878.0	89.73	197.78	2547474.0	2484731.0	2521750.0	19252.0	2475.0	3997.0	0.27	0.01	1.6	0.01	1.64	107593.0	1.82	2922.0	0.05	0.0	8.38	0.02	97.5370504272	98.9902154055	0.755729008422	0.097155064193	0.15690052185
S_MSA_08	Apr 30 00:32:06	Apr 30 00:33:30	Apr 30 00:35:57	203.78	8320942.0	200.0	7197770.0	86.5	196.66	1752615.0	1678763.0	1729492.0	16805.0	3177.0	3141.0	0.32	0.03	2.57	0.01	1.59	138061.0	1.66	9800.0	0.12	0.0	11.6	0.12	95.7861823618	98.6806571894	0.958852914074	0.181271985005	0.179217911521
S_MSA_09	Apr 29 18:56:06	Apr 29 18:56:25	Apr 29 18:58:02	211.62	5701984.0	200.0	5186395.0	90.96	197.71	1490257.0	1443265.0	1476085.0	11419.0	942.0	1811.0	0.31	0.01	1.63	0.01	1.58	100477.0	1.76	4440.0	0.08	0.0	7.15	0.05	96.8467183848	99.049023088	0.766243674749	0.0632105737467	0.121522663541
S_MSA_10	Apr 29 18:06:45	Apr 29 18:22:12	Apr 29 18:24:56	106.19	4837418.0	200.0	4189358.0	86.6	197.78	1212289.0	1171811.0	1198327.0	10645.0	1555.0	1762.0	0.28	0.01	1.58	0.01	1.53	86672.0	1.79	6031.0	0.12	0.0	11.4	0.08	96.6610271973	98.8482944248	0.87809095026	0.128269744261	0.145344880635
S_MSA_11	Apr 29 19:39:07	Apr 29 19:42:18	Apr 29 19:44:03	191.16	5575369.0	200.0	5058711.0	90.73	197.92	1574926.0	1522883.0	1558779.0	12238.0	1393.0	2516.0	0.29	0.01	1.66	0.01	1.52	99803.0	1.79	5141.0	0.09	0.0	7.32	0.07	96.6955272819	98.9747454801	0.777052382144	0.0884486001247	0.159753537627
S_MSA_12	Apr 29 19:00:50	Apr 29 19:01:09	Apr 29 19:02:49	201.71	5603160.0	200.0	5065644.0	90.41	197.72	1659906.0	1614286.0	1642909.0	13196.0	1052.0	2749.0	0.29	0.02	2.05	0.01	1.64	91263.0	1.63	4038.0	0.07	0.0	7.82	0.07	97.2516515995	98.9760263533	0.794984776246	0.0633770827987	0.165611787655
S_MSA_13	Apr 29 18:43:04	Apr 29 18:43:33	Apr 29 18:46:28	216.2	10509611.0	200.0	9407272.0	89.51	197.83	4736975.0	4620283.0	4684914.0	40174.0	6038.0	5849.0	0.26	0.01	1.59	0.01	1.6	238246.0	2.27	9474.0	0.09	0.0	8.09	0.04	97.5365713351	98.9009652785	0.84809398403	0.127465312779	0.123475424717
S_MSA_14	Apr 29 19:06:52	Apr 29 19:07:11	Apr 29 19:09:46	215.84	9293299.0	200.0	8353946.0	89.89	197.68	3378713.0	3288977.0	3347011.0	23054.0	5483.0	3165.0	0.28	0.01	1.58	0.01	1.5	170549.0	1.84	8915.0	0.1	0.0	8.11	0.07	97.3440774638	99.0617137354	0.682330816497	0.162280726419	0.0936747217062
S_MSA_15	Apr 29 19:02:53	Apr 29 19:03:14	Apr 29 19:04:41	212.65	5139003.0	200.0	4583916.0	89.2	197.92	1454531.0	1410653.0	1440292.0	11904.0	1035.0	1300.0	0.27	0.01	1.66	0.01	1.54	80560.0	1.57	3543.0	0.07	0.0	9.12	0.04	96.9833575221	99.0210590218	0.818408132931	0.0711569571223	0.0893758881729
S_MSA_16	Apr 29 19:09:54	Apr 29 19:10:17	Apr 29 19:12:13	222.58	7172165.0	200.0	6547690.0	91.29	197.69	2101605.0	2043257.0	2077193.0	19862.0	2029.0	2521.0	0.31	0.01	1.64	0.01	1.55	132637.0	1.85	6876.0	0.1	0.0	6.7	0.06	97.2236457374	98.8384115949	0.945087207158	0.0965452594565	0.119955938438
S_MSA_17	Apr 29 19:10:41	Apr 29 19:11:57	Apr 29 19:16:09	200.83	14057906.0	200.0	12418976.0	88.34	197.91	6733958.0	6585902.0	6664126.0	55772.0	6089.0	7971.0	0.26	0.01	1.52	0.01	1.64	277344.0	1.97	18887.0	0.13	0.0	9.48	0.07	97.8013524884	98.9629872951	0.82822019383	0.0904223043862	0.118370206645
S_MSA_18	Apr 29 18:47:44	Apr 29 18:48:51	Apr 29 18:51:12	166.28	6512814.0	200.0	5761412.0	88.46	197.74	2747342.0	2647694.0	2724206.0	17572.0	2172.0	3392.0	0.27	0.01	1.54	0.01	1.44	119930.0	1.84	5603.0	0.09	0.0	9.58	0.03	96.3729306362	99.1578769589	0.639600020675	0.0790582315562	0.123464788876
S_MSA_19	Apr 29 18:36:49	Apr 29 18:37:11	Apr 29 18:38:25	98.43	2023212.0	200.0	1796521.0	88.8	198.4	2468.0	503.0	2258.0	165.0	5.0	40.0	0.24	0.01	2.0	0.01	1.81	60444.0	2.99	11294.0	0.56	0.0	6.65	1.01	20.3808752026	91.4910858995	6.68557536467	0.202593192869	1.62074554295
S_MSA_20	Apr 29 19:29:35	Apr 29 19:30:54	Apr 29 19:32:47	192.92	6055551.0	200.0	5312050.0	87.72	197.59	2419690.0	2347647.0	2391670.0	19498.0	2569.0	5953.0	0.28	0.01	1.57	0.01	1.5	114545.0	1.89	4832.0	0.08	0.0	10.26	0.05	97.0226351309	98.8420004215	0.805805702383	0.106170625163	0.246023250912
S_MSA_21	Apr 29 19:29:24	Apr 29 19:29:44	Apr 29 19:31:08	183.95	4292091.0	200.0	3820709.0	89.02	197.37	1741758.0	1709988.0	1724342.0	14613.0	1304.0	1499.0	0.3	0.02	1.63	0.01	1.5	84636.0	1.97	5973.0	0.14	0.0	8.82	0.05	98.1759808194	99.0000907129	0.838979927177	0.0748668873632	0.0860624725134
S_MSA_22	Apr 29 18:59:09	Apr 29 18:59:26	Apr 29 19:00:46	188.86	4196885.0	200.0	3710094.0	88.4	197.67	1511478.0	1472713.0	1495315.0	10982.0	376.0	4805.0	0.28	0.02	1.6	0.01	1.6	74756.0	1.78	3188.0	0.08	0.0	9.69	0.05	97.4352918137	98.9306493379	0.726573592206	0.0248763131187	0.317900756743
S_MSA_23	Apr 29 18:34:39	Apr 29 18:34:57	Apr 29 18:36:42	202.77	5914253.0	200.0	5283838.0	89.34	197.36	2067785.0	2019062.0	2047104.0	15180.0	3296.0	2205.0	0.32	0.01	1.65	0.01	1.52	129434.0	2.19	8210.0	0.14	0.0	8.27	0.06	97.6437105405	98.9998476631	0.734118875995	0.15939761629	0.106635844636
S_MSA_24	Apr 29 18:28:31	Apr 29 18:28:50	Apr 29 18:30:55	212.81	7389322.0	200.0	6692216.0	90.57	198.01	1850309.0	1781997.0	1830282.0	15519.0	1657.0	2851.0	0.28	0.01	1.65	0.01	1.48	141745.0	1.92	6667.0	0.09	0.0	7.37	0.06	96.3080761105	98.9176402428	0.838724775159	0.0895526098614	0.154082372188
S_MSA_25	Apr 29 18:58:18	Apr 29 18:58:36	Apr 29 18:58:37	8.82	2451.0	200.0	576.0	23.5	196.32	271.0	269.0	268.0	2.0	1.0	0.0	0.45	0.01	1.71	0.01	1.75	22.0	0.9	1.0	0.04	0.0	75.56	0.0	99.2619926199	98.8929889299	0.738007380074	0.369003690037	0.0
S_MSA_26	Apr 29 19:06:30	Apr 29 19:06:48	Apr 29 19:08:16	210.57	5147170.0	200.0	4683640.0	90.99	197.7	1550304.0	1508026.0	1535757.0	10690.0	1484.0	2373.0	0.3	0.02	1.62	0.01	1.49	92244.0	1.79	4977.0	0.1	0.0	7.06	0.05	97.272921956	99.0616679051	0.689542180114	0.0957231613929	0.153066753359
S_MSA_27	Apr 29 19:16:33	Apr 29 19:16:58	Apr 29 19:18:35	194.58	5242805.0	200.0	4649561.0	88.68	197.65	2258115.0	2195433.0	2233713.0	18979.0	2176.0	3247.0	0.28	0.01	1.61	0.01	1.53	89726.0	1.71	5396.0	0.1	0.0	9.46	0.04	97.2241449173	98.9193641599	0.840479780702	0.0963635598718	0.143792499496
S_MSA_28	Apr 29 18:46:35	Apr 29 18:47:16	Apr 29 18:49:21	140.02	4861867.0	200.0	4413457.0	90.78	197.79	2531686.0	2493635.0	2509239.0	18450.0	1975.0	2022.0	0.26	0.01	1.57	0.01	1.65	117961.0	2.43	8222.0	0.17	0.0	6.6	0.03	98.4970095028	99.1133576597	0.728763361649	0.0780112541603	0.0798677245124
S_MSA_29	Apr 29 18:44:32	Apr 29 18:45:07	Apr 29 18:46:05	114.07	1837821.0	200.0	1616494.0	87.96	198.13	3165.0	1317.0	2996.0	125.0	6.0	38.0	0.24	0.01	1.97	0.01	1.83	52093.0	2.83	10888.0	0.59	0.0	7.61	1.01	41.6113744076	94.6603475513	3.94944707741	0.189573459716	1.20063191153
S_MSA_30	Apr 29 19:05:25	Apr 29 19:05:46	Apr 29 19:06:57	186.96	3687230.0	200.0	3156431.0	85.6	197.27	1989159.0	1947860.0	1974637.0	10116.0	1012.0	3394.0	0.27	0.01	1.73	0.0	1.68	73122.0	1.98	1798.0	0.05	0.0	12.34	0.02	97.9237959359	99.2699427245	0.50855663122	0.0508757721228	0.170624872119
S_MSA_31	Apr 29 18:14:29	Apr 29 18:14:47	Apr 29 18:16:50	216.07	7382442.0	200.0	6648072.0	90.05	197.72	2825164.0	2761500.0	2795703.0	23349.0	3000.0	3112.0	0.28	0.01	1.64	0.01	1.5	146093.0	1.98	5089.0	0.07	0.0	7.82	0.08	97.7465379001	98.9571932815	0.826465295466	0.106188525693	0.110152897319
S_MSA_32	Apr 29 17:56:49	Apr 29 18:00:06	Apr 29 18:01:20	212.33	4364648.0	200.0	4031280.0	92.36	198.06	1288155.0	1251122.0	1275517.0	10174.0	958.0	1506.0	0.27	0.01	1.62	0.01	1.62	76823.0	1.76	3972.0	0.09	0.0	5.71	0.07	97.1251130493	99.0189068862	0.789811785072	0.0743699321898	0.116911396532
S_MSA_33	Apr 29 19:12:09	Apr 29 19:21:07	Apr 29 19:23:09	156.55	5305444.0	200.0	4761216.0	89.74	197.99	1278676.0	1230429.0	1262921.0	12834.0	1272.0	1649.0	0.28	0.01	1.58	0.01	1.54	96403.0	1.82	4176.0	0.08	0.0	8.3	0.06	96.2268002215	98.7678661365	1.00369444644	0.0994778974502	0.128961519572
S_MSA_34	Apr 29 18:16:57	Apr 29 18:17:17	Apr 29 18:18:35	211.21	4576321.0	200.0	4166721.0	91.05	197.92	1494944.0	1455857.0	1477415.0	13446.0	1628.0	2455.0	0.28	0.01	1.59	0.01	1.55	93152.0	2.04	7140.0	0.16	0.0	6.72	0.04	97.3853870112	98.8274477171	0.899431684398	0.108900400283	0.164220198215
S_MSA_35	Apr 29 19:12:31	Apr 29 19:12:49	Apr 29 19:14:18	150.21	3713471.0	200.0	3177709.0	85.57	197.63	1857118.0	1809856.0	1841415.0	12171.0	1437.0	2095.0	0.27	0.01	1.68	0.01	1.57	92366.0	2.49	4878.0	0.13	0.0	11.73	0.08	97.4550890143	99.1544425287	0.655370310341	0.0773779587511	0.112809202215
S_MSA_36	Apr 29 18:06:02	Apr 29 18:08:46	Apr 29 18:10:13	106.85	2582208.0	200.0	2269252.0	87.88	197.59	1106215.0	1083483.0	1096153.0	8092.0	906.0	1064.0	0.26	0.01	1.6	0.01	1.58	49524.0	1.92	2502.0	0.1	0.0	10.08	0.03	97.9450649286	99.0904119	0.731503369598	0.0819008962995	0.0961838340648
S_MSA_37	Apr 29 18:46:46	Apr 29 18:47:18	Apr 29 18:48:58	126.15	3504200.0	200.0	3167432.0	90.39	197.75	1320648.0	1288907.0	1308664.0	8573.0	1317.0	2094.0	0.27	0.01	1.53	0.01	1.46	65782.0	1.88	2766.0	0.08	0.0	7.63	0.03	97.5965586591	99.0925666794	0.649151022831	0.0997237719665	0.158558525815
